16:23:32,2925.00 ,2692.35 ,2887.94 ,2898.55
16:23:32,48 ,2925.07 ,2692.43 ,2888.03 ,2898.59
16:23:32,52 ,2925.11 ,2692.47 ,2888.02 ,2898.67
16:23:32,56 ,2925.15 ,2692.54 ,2888.12 ,2898.71
16:23:33,60 ,2925.32 ,2692.59 ,2888.15 ,2898.77
16:23:33,64 ,2925.28 ,2692.63 ,2888.15 ,2898.83
16:23:33,68 ,2925.31 ,2692.70 ,2888.20 ,2898.83
16:23:33,72 ,2925.35 ,2692.68 ,2888.30 ,2898.91
16:23:33,76 ,2925.38 ,2692.77 ,2888.30 ,2898.90
16:23:33,80 ,2925.42 ,2692.78 ,2888.39 ,2898.97
16:23:34,84 ,2925.52 ,2692.87 ,2888.46 ,2899.06
16:23:34,88 ,2925.44 ,2692.87 ,2888.48 ,2899.01
16:23:34,92 ,2925.49 ,2692.87 ,2888.46 ,2899.13
16:23:34,96 ,2925.52 ,2692.90 ,2888.47 ,2899.04
16:23:34,100 ,2925.56 ,2692.93 ,2888.48 ,2899.16
16:23:34,104 ,2925.57 ,2693.03 ,2888.48 ,2899.14
16:23:35,108 ,2925.63 ,2692.96 ,2888.55 ,2899.19
16:23:35,112 ,2925.70 ,2693.10 ,2888.59 ,2899.25
16:23:35,116 ,2925.66 ,2693.07 ,2888.60 ,2899.20
16:23:35,120 ,2925.73 ,2693.12 ,2888.63 ,2899.30
16:23:35,124 ,2925.72 ,2693.14 ,2888.70 ,2899.33
16:23:35,128 ,2925.81 ,2693.11 ,2888.70 ,2899.31
16:23:36,132 ,2925.80 ,2693.20 ,2888.74 ,2899.37
16:23:36,136 ,2925.87 ,2693.21 ,2888.77 ,2899.33
16:23:36,140 ,2925.88 ,2693.23 ,2888.77 ,2899.44
16:23:36,144 ,2925.93 ,2693.24 ,2888.81 ,2899.40
16:23:36,148 ,2925.91 ,2693.28 ,2888.84 ,2899.51
16:23:36,152 ,2925.93 ,2693.33 ,2888.80 ,2899.53
16:23:37,156 ,2925.95 ,2693.33 ,2888.86 ,2899.57
16:23:37,160 ,2926.02 ,2693.36 ,2888.93 ,2899.57
