14:15:41,2980.02 ,2744.66 ,2941.92 ,2953.46
14:15:42,8 ,2979.98 ,2744.61 ,2941.91 ,2953.58
14:15:42,12 ,2980.05 ,2744.86 ,2942.05 ,2953.62
14:15:42,16 ,2980.25 ,2744.95 ,2942.22 ,2953.85
14:15:42,20 ,2980.40 ,2745.04 ,2942.30 ,2953.89
14:15:42,24 ,2980.40 ,2745.10 ,2942.38 ,2953.97
14:15:42,28 ,2980.48 ,2745.15 ,2942.39 ,2953.99
14:15:43,32 ,2980.52 ,2745.18 ,2942.50 ,2954.15
14:15:43,36 ,2980.62 ,2745.25 ,2942.53 ,2954.16
14:15:43,40 ,2980.67 ,2745.33 ,2942.60 ,2954.20
14:15:43,44 ,2980.74 ,2745.36 ,2942.61 ,2954.22
14:15:43,48 ,2980.77 ,2745.37 ,2942.69 ,2954.29
14:15:43,52 ,2980.83 ,2745.48 ,2942.72 ,2954.36
14:15:44,56 ,2980.92 ,2745.50 ,2942.79 ,2954.45
14:15:44,60 ,2980.89 ,2745.52 ,2942.80 ,2954.47
14:15:44,64 ,2980.94 ,2745.56 ,2942.90 ,2954.54
14:15:44,68 ,2981.01 ,2745.61 ,2942.85 ,2954.46
14:15:44,72 ,2981.04 ,2745.61 ,2942.91 ,2954.56
14:15:44,76 ,2981.08 ,2745.69 ,2943.01 ,2954.59
14:15:45,80 ,2981.14 ,2745.70 ,2943.00 ,2954.63
14:15:45,84 ,2981.19 ,2745.75 ,2943.05 ,2954.70
14:15:45,88 ,2981.16 ,2745.84 ,2943.16 ,2954.80
14:15:45,92 ,2981.28 ,2745.81 ,2943.16 ,2954.77
14:15:45,96 ,2981.27 ,2745.98 ,2943.12 ,2954.87
14:15:45,100 ,2981.31 ,2745.95 ,2943.24 ,2954.87
14:15:46,104 ,2981.37 ,2745.98 ,2943.26 ,2954.92
14:15:46,108 ,2981.44 ,2746.09 ,2943.27 ,2955.00
14:15:46,112 ,2981.50 ,2746.16 ,2943.40 ,2955.01
14:15:46,116 ,2981.50 ,2746.10 ,2943.48 ,2955.06
14:15:46,120 ,2981.53 ,2746.21 ,2943.46 ,2955.11
14:15:46,124 ,2981.64 ,2746.25 ,2943.44 ,2955.13
14:15:47,128 ,2981.61 ,2746.23 ,2943.53 ,2955.16
14:15:47,132 ,2981.71 ,2746.32 ,2943.55 ,2955.24
14:15:47,136 ,2981.66 ,2746.27 ,2943.61 ,2955.26
14:15:47,140 ,2981.76 ,2746.40 ,2943.61 ,2955.30
14:15:47,144 ,2981.78 ,2746.41 ,2943.69 ,2955.36
14:15:47,148 ,2981.83 ,2746.42 ,2943.76 ,2955.40
14:15:48,152 ,2981.85 ,2746.47 ,2943.80 ,2955.44
14:15:48,156 ,2981.91 ,2746.48 ,2943.86 ,2955.42
14:15:48,160 ,2981.92 ,2746.55 ,2943.86 ,2955.50
14:15:48,164 ,2981.98 ,2746.55 ,2943.86 ,2955.51
14:15:48,168 ,2982.02 ,2746.65 ,2943.90 ,2955.58
14:15:48,172 ,2982.04 ,2746.67 ,2943.96 ,2955.61
14:15:49,176 ,2982.13 ,2746.69 ,2943.98 ,2955.65
14:15:49,180 ,2982.22 ,2746.72 ,2944.05 ,2955.68
14:15:49,184 ,2982.20 ,2746.73 ,2944.10 ,2955.77
14:15:49,188 ,2982.30 ,2746.88 ,2944.12 ,2955.73
14:15:49,192 ,2982.30 ,2746.83 ,2944.17 ,2955.91
14:15:49,196 ,2982.29 ,2746.90 ,2944.22 ,2955.83
14:15:50,200 ,2982.36 ,2746.92 ,2944.24 ,2955.87
14:15:50,204 ,2982.46 ,2746.95 ,2944.30 ,2955.99
14:15:50,208 ,2982.46 ,2747.04 ,2944.31 ,2955.97
14:15:50,212 ,2982.53 ,2747.05 ,2944.32 ,2956.02
14:15:50,216 ,2982.52 ,2747.14 ,2944.38 ,2956.07
14:15:50,220 ,2982.61 ,2747.11 ,2944.44 ,2956.10
14:15:51,224 ,2982.62 ,2747.16 ,2944.51 ,2956.12
14:15:51,228 ,2982.68 ,2747.26 ,2944.49 ,2956.22
14:15:51,232 ,2982.69 ,2747.22 ,2944.62 ,2956.23
14:15:51,236 ,2982.77 ,2747.32 ,2944.66 ,2956.30
14:15:51,240 ,2982.83 ,2747.39 ,2944.69 ,2956.31
14:15:51,244 ,2982.84 ,2747.39 ,2944.72 ,2956.38
14:15:52,248 ,2982.88 ,2747.45 ,2944.73 ,2956.42
14:15:52,252 ,2982.96 ,2747.52 ,2944.78 ,2956.46
