14:13:43,2981.91 ,2746.46 ,2943.82 ,2955.48
14:13:44,184 ,2982.02 ,2746.55 ,2943.77 ,2955.46
14:13:44,188 ,2981.99 ,2746.61 ,2943.86 ,2955.51
14:13:44,192 ,2982.12 ,2746.58 ,2943.92 ,2955.58
14:13:44,196 ,2982.08 ,2746.69 ,2943.93 ,2955.62
14:13:44,200 ,2982.09 ,2746.71 ,2944.04 ,2955.70
14:13:44,204 ,2982.19 ,2746.74 ,2944.10 ,2955.70
14:13:45,208 ,2982.21 ,2746.84 ,2944.11 ,2955.82
14:13:45,212 ,2982.31 ,2746.86 ,2944.18 ,2955.90
14:13:45,216 ,2982.34 ,2746.86 ,2944.17 ,2955.89
14:13:45,220 ,2982.39 ,2746.93 ,2944.23 ,2955.92
14:13:45,224 ,2982.40 ,2747.01 ,2944.30 ,2955.98
14:13:45,228 ,2982.46 ,2747.07 ,2944.31 ,2956.00
14:13:46,232 ,2982.49 ,2747.03 ,2944.40 ,2956.04
14:13:46,236 ,2982.49 ,2747.12 ,2944.44 ,2956.08
14:13:46,240 ,2982.55 ,2747.16 ,2944.45 ,2956.12
14:13:46,244 ,2982.65 ,2747.18 ,2944.55 ,2956.19
14:13:46,248 ,2982.70 ,2747.16 ,2944.48 ,2956.17
14:13:46,252 ,2982.71 ,2747.29 ,2944.64 ,2956.27
14:13:47,256 ,2982.80 ,2747.32 ,2944.60 ,2956.30
14:13:47,260 ,2982.83 ,2747.33 ,2944.62 ,2956.25
14:13:47,264 ,2982.77 ,2747.30 ,2944.65 ,2956.34
14:13:47,268 ,2982.91 ,2747.41 ,2944.75 ,2956.36
14:13:47,272 ,2982.88 ,2747.45 ,2944.76 ,2956.48
14:13:47,276 ,2982.99 ,2747.46 ,2944.79 ,2956.49
14:13:48,280 ,2982.92 ,2747.45 ,2944.84 ,2956.49
14:13:48,284 ,2982.99 ,2747.51 ,2944.84 ,2956.49
14:13:48,288 ,2983.06 ,2747.56 ,2944.92 ,2956.55
14:13:48,292 ,2983.02 ,2747.62 ,2944.94 ,2956.63
14:13:48,296 ,2983.07 ,2747.60 ,2944.97 ,2956.65
14:13:48,300 ,2983.16 ,2747.68 ,2944.96 ,2956.63
14:13:49,304 ,2983.19 ,2747.66 ,2945.04 ,2956.70
14:13:49,308 ,2983.22 ,2747.73 ,2945.08 ,2956.74
14:13:49,312 ,2983.21 ,2747.80 ,2945.13 ,2956.80
14:13:49,316 ,2983.24 ,2747.78 ,2945.10 ,2956.78
14:13:49,320 ,2983.32 ,2747.86 ,2945.16 ,2956.89
14:13:49,324 ,2983.32 ,2747.89 ,2945.21 ,2956.83
14:13:50,328 ,2983.43 ,2747.86 ,2945.20 ,2956.92
14:13:50,332 ,2983.35 ,2747.90 ,2945.28 ,2956.91
14:13:50,336 ,2983.43 ,2747.89 ,2945.23 ,2956.94
14:13:50,340 ,2983.45 ,2747.85 ,2945.30 ,2957.01
14:13:50,344 ,2983.48 ,2747.97 ,2945.22 ,2956.97
14:13:50,348 ,2983.49 ,2748.00 ,2945.32 ,2956.98
14:13:51,352 ,2983.53 ,2747.95 ,2945.40 ,2957.01
14:13:51,356 ,2983.62 ,2748.02 ,2945.41 ,2957.06
14:13:51,360 ,2983.61 ,2748.09 ,2945.40 ,2957.10
14:13:51,364 ,2983.71 ,2748.12 ,2945.49 ,2957.11
14:13:51,368 ,2983.69 ,2748.07 ,2945.44 ,2957.16
14:13:51,372 ,2983.70 ,2748.20 ,2945.59 ,2957.19
14:13:52,376 ,2983.66 ,2748.20 ,2945.60 ,2957.20
14:13:52,380 ,2983.73 ,2748.17 ,2945.57 ,2957.29
14:13:52,384 ,2983.77 ,2748.20 ,2945.62 ,2957.27
14:13:52,388 ,2983.80 ,2748.32 ,2945.58 ,2957.32
14:13:52,392 ,2983.83 ,2748.30 ,2945.64 ,2957.39
14:13:52,396 ,2983.87 ,2748.37 ,2945.69 ,2957.40
14:13:53,400 ,2983.96 ,2748.41 ,2945.76 ,2957.43
14:13:54,0 ,2980.76 ,2744.78 ,2941.77 ,2953.32
14:13:54,4 ,2979.84 ,2744.46 ,2941.67 ,2953.25
14:13:54,8 ,2979.62 ,2744.32 ,2941.58 ,2953.22
14:13:54,12 ,2979.82 ,2744.51 ,2941.77 ,2953.36
14:13:54,16 ,2979.94 ,2744.64 ,2941.90 ,2953.49
14:13:55,20 ,2980.08 ,2744.73 ,2941.96 ,2953.58
14:13:55,24 ,2980.10 ,2744.81 ,2942.06 ,2953.62
14:13:55,28 ,2980.25 ,2744.87 ,2942.17 ,2953.70
14:13:55,32 ,2980.31 ,2744.95 ,2942.12 ,2953.79
14:13:55,36 ,2980.36 ,2745.00 ,2942.23 ,2953.91
14:13:56,40 ,2980.38 ,2745.10 ,2942.24 ,2954.00
14:13:56,44 ,2980.47 ,2745.08 ,2942.37 ,2953.97
14:13:56,48 ,2980.51 ,2745.15 ,2942.39 ,2954.06
14:13:56,52 ,2980.53 ,2745.15 ,2942.48 ,2954.01
14:13:56,56 ,2980.60 ,2745.19 ,2942.47 ,2954.14
14:13:56,60 ,2980.65 ,2745.28 ,2942.53 ,2954.15
14:13:57,64 ,2980.67 ,2745.34 ,2942.66 ,2954.18
14:13:57,68 ,2980.80 ,2745.35 ,2942.61 ,2954.24
14:13:57,72 ,2980.78 ,2745.40 ,2942.62 ,2954.25
14:13:57,76 ,2980.81 ,2745.42 ,2942.78 ,2954.33
14:13:57,80 ,2980.87 ,2745.49 ,2942.73 ,2954.42
14:13:57,84 ,2980.96 ,2745.48 ,2942.77 ,2954.43
14:13:58,88 ,2980.96 ,2745.60 ,2942.80 ,2954.43
14:13:58,92 ,2980.98 ,2745.60 ,2942.86 ,2954.57
14:13:58,96 ,2981.10 ,2745.66 ,2942.92 ,2954.54
14:13:58,100 ,2981.15 ,2745.71 ,2942.99 ,2954.63
14:13:58,104 ,2981.18 ,2745.72 ,2943.03 ,2954.64
14:13:58,108 ,2981.23 ,2745.82 ,2943.11 ,2954.71
14:13:59,112 ,2981.26 ,2745.85 ,2943.16 ,2954.75
14:13:59,116 ,2981.30 ,2745.86 ,2943.26 ,2954.85
14:13:59,120 ,2981.26 ,2745.91 ,2943.22 ,2954.85
14:13:59,124 ,2981.35 ,2745.96 ,2943.25 ,2954.93
14:13:59,128 ,2981.44 ,2746.05 ,2943.36 ,2954.96
14:13:59,132 ,2981.52 ,2746.09 ,2943.36 ,2954.95
14:14:00,136 ,2981.52 ,2746.10 ,2943.36 ,2955.04
14:14:00,140 ,2981.55 ,2746.17 ,2943.45 ,2955.06
14:14:00,144 ,2981.51 ,2746.18 ,2943.45 ,2955.17
14:14:00,148 ,2981.65 ,2746.24 ,2943.47 ,2955.18
14:14:00,152 ,2981.66 ,2746.32 ,2943.60 ,2955.20
14:14:00,156 ,2981.76 ,2746.33 ,2943.56 ,2955.30
